Transaction_ID,Date,Day,Time,Stall Number,Type of Food,Food Category,Quantity Sold,Unit Price,Total Sales,Payment Method,Customer Type,Stock Before,Stock After
S2,01/12/2026,Monday,13:24,1,Assorted Churros,Snack,2,89,178,Cash,Student,50,48
S1,01/12/2026,Monday,14:29,1,Squash-Based Churros,Snack,1,49,49,Cash,Student,50,49
S6,02/14/2026,Saturday,8:20,1,Carrot-Based Churros,Snack,2,89,178,Cash,Employee,50,48
S7,02/14/2026,Saturday,14:48,1,Squash-Based Churros,Snack,2,49,98,Cash,Employee,50,48
S3,02/14/2026,Saturday,17:02,1,Carrot-Based Churros,Snack,2,49,98,Cash,Student,48,46
B27,02/14/2026,Saturday,15:05,14,Carrot-Based Churros,Beverage,4,35,140,Cash,Student,50,46
M24,02/14/2026,Saturday,8:36,24,Squash-Based Churros,Meal,55,65,3575,Cash,Employee,50,-5
M31,02/14/2026,Saturday,17:31,24,BBQ Crunch,Meal,2,65,130,Cash,Student,-5,-7
M30,02/14/2026,Saturday,9:29,26,Mango Spark,Meal,64,75,4800,Cash,Student,50,-14
B26,02/14/2026,Saturday,14:23,123,Mango Spark,Beverage,3,25,75,Cash,Student,50,47
S29,03/04/2026,Tuesday,7:30,9,BBQ Crunch,Snack,2,198,396,Cash,Student,50,48
S30,03/04/2026,Tuesday,14:33,9,BBQ Crunch,Snack,4,97,388,E-Wallet,Student,50,46
M29,03/04/2026,Tuesday,10:53,26,Mango Spark,Meal,6,75,450,E-Wallet,Student,50,44
S17,04/21/2026,Tuesday,7:20,1,Cheese Balls,Snack,3,49,147,E-Wallet,Student,50,47
S18,04/21/2026,Tuesday,11:52,1,Pork Sisig,Snack,2,89,178,Cash,Employee,47,45
S16,04/21/2026,Tuesday,12:20,1,Corn Dog,Snack,3,49,147,E-Wallet,Employee,50,47
B4,04/21/2026,Tuesday,9:44,8,Pork Sisig,Beverage,12,38,456,Cash,Student,50,38
B10,04/21/2026,Tuesday,14:40,8,Cheese Balls,Beverage,2,38,76,Cash,Student,38,36
B9,04/21/2026,Tuesday,15:37,8,Pork Sisig,Beverage,2,43,86,Cash,Student,50,48
B5,04/21/2026,Tuesday,16:44,8,FEWA Burger,Beverage,4,43,172,Cash,Student,48,44
S18,04/21/2026,Tuesday,7:29,9,Siomai Rice,Snack,1,127,127,E-Wallet,Student,50,49
S21,04/21/2026,Tuesday,9:15,9,FEWA Burger,Snack,2,97,194,Cash,Student,50,48
S19,04/21/2026,Tuesday,10:28,9,Siomai Rice,Snack,2,198,396,E-Wallet,Student,50,48
S20,04/21/2026,Tuesday,15:07,9,Siomai Rice,Snack,2,228,456,Cash,Student,50,48
M8,04/21/2026,Tuesday,10:17,10,Veggie Balls,Meal,1,70,70,Cash,Student,50,49
M7,04/21/2026,Tuesday,14:51,10,Veggie Balls,Meal,1,70,70,Cash,Student,49,48
M9,04/21/2026,Tuesday,16:41,10,Veggie Balls,Meal,1,99,99,E-Wallet,Student,50,49
M11,04/21/2026,Tuesday,9:34,11,Veggie Balls,Meal,1,99,99,Cash,Student,50,49
M12,04/21/2026,Tuesday,9:35,11,Assorted Churros,Meal,2,119,238,E-Wallet,Employee,50,48
M13,04/21/2026,Tuesday,9:57,11,Carrot-Based Churros,Meal,2,99,198,E-Wallet,Employee,49,47
B11,04/21/2026,Tuesday,12:44,11,Carrot-Based Churros,Beverage,2,35,70,Cash,Student,50,48
M10,04/21/2026,Tuesday,15:49,11,Kape Latte,Meal,1,119,119,Cash,Student,48,47
B12,04/21/2026,Tuesday,9:17,12,Kape Vanilla,Beverage,2,25,50,Cash,Employee,50,48
B13,04/21/2026,Tuesday,16:19,12,Kape Matcha,Beverage,2,35,70,Cash,Employee,50,48
SF5,04/21/2026,Tuesday,17:40,15,Kape Matcha,Street Food,2,20,40,Cash,Employee,50,48
S25,04/21/2026,Tuesday,13:01,20,Kape Vanilla,Snack,4,70,280,E-Wallet,Student,50,46
S26,04/21/2026,Tuesday,16:55,20,Kape Vanilla,Snack,6,49,294,Cash,Student,50,44
M17,04/21/2026,Tuesday,8:51,22,Kape Latte,Meal,4,65,260,E-Wallet,Student,50,46
M15,04/21/2026,Tuesday,15:16,22,Mega Fries,Meal,3,65,195,Cash,Student,46,43
M22,04/21/2026,Tuesday,17:37,23,Giga Fries,Meal,3,60,180,E-Wallet,Employee,50,47
M16,04/21/2026,Tuesday,14:19,222,Tera Fries,Meal,2,90,180,Cash,Student,50,48
B3,04/22/2026,Wednesday,9:46,2,Jumbo Fries,Beverage,4,50,200,Cash,Student,50,46
S11,04/22/2026,Wednesday,13:33,3,Bagnet w/ Rice,Snack,2,20,40,E-Wallet,Student,50,48
S13,04/22/2026,Wednesday,15:44,3,Bagnet w/ Rice,Snack,4,20,80,Cash,Student,48,44
S12,04/22/2026,Wednesday,15:45,3,Beef Samgyup,Snack,5,30,150,Cash,Student,50,45
M1,04/22/2026,Wednesday,16:50,3,Buy 1 Take 1 Beef Pepper Rice,Meal,4,75,300,E-Wallet,Student,50,46
M3,04/22/2026,Wednesday,17:30,3,Buy 1 Take 1 Shawarma Rice,Meal,4,75,300,E-Wallet,Employee,46,42
M2,04/22/2026,Wednesday,17:37,3,Bottled Water,Meal,3,75,225,Cash,Student,42,39
B7,04/22/2026,Wednesday,8:25,8,Buy 1 Take 1 Beef Pepper Rice,Beverage,1,48,48,E-Wallet,Student,50,49
B6,04/22/2026,Wednesday,13:50,8,Buy 1 Take 1 Shawarma Rice,Beverage,1,48,48,E-Wallet,Student,49,48
S5,05/08/2026,Friday,15:56,1,Lemonade,Snack,2,49,98,E-Wallet,Student ,50,48
S4,05/08/2026,Friday,16:46,1,Cucumber,Snack,2,89,178,E-Wallet,Employee,50,48
S28,05/08/2026,Friday,14:17,9,Watermelon,Snack,3,198,594,Cash,Employee,50,47
SF2,05/08/2026,Friday,12:51,15,Watermelon,Street Food,3,20,60,E-Wallet,Student,50,47
M27,05/08/2026,Friday,13:24,16,Cucumber,Meal,3,50,150,E-Wallet,Employee,50,47
S15,05/08/2026,Friday,7:23,20,Cucumber,Snack,3,70,210,Cash,Student,50,47
M5,05/08/2026,Friday,11:41,20,Lemonade,Meal,3,65,195,Cash,Student,50,47
M6,05/08/2026,Friday,13:12,23,Lemonade,Meal,3,35,105,E-Wallet,Student,50,47
M28,05/08/2026,Friday,10:11,27,Red Tea,Meal,1,80,80,Cash,Student,50,49
S27,05/08/2026,Friday,17:52,27,Sisig Rice,Snack,5,95,475,Cash,Employee,50,45
S8,05/13/2026,Wednesday,8:05,2,Mango Tapioca,Snack,2,35,70,E-Wallet,Employee,50,48
S9,05/13/2026,Wednesday,11:09,2,Lemon Iced Tea,Snack,4,35,140,Cash,Student,48,44
B1,05/13/2026,Wednesday,14:44,2,Red Iced Tea,Beverage,2,40,80,E-Wallet,Student,50,48
B8,05/13/2026,Wednesday,14:46,8,Milky Watermelon,Beverage,2,43,86,Cash,Student,50,48
B2,05/13/2026,Wednesday,14:02,14,Lemon Iced Tea,Beverage,1,50,50,E-Wallet,Student,50,49
SF3,05/13/2026,Wednesday,9:14,15,Mango Tapioca,Street Food,2,20,40,Cash,Student,50,48
SF4,05/13/2026,Wednesday,14:08,15,Fishball,Street Food,3,20,60,Cash,Student,48,45
S38,05/18/2026,Monday,10:36,1,Kwek-Kwek,Snack,1,89,89,E-Wallet,Student,50,49
B28,05/18/2026,Monday,17:09,8,Veggie Balls,Beverage,1,38,38,E-Wallet,Student,50,49
B29,05/18/2026,Monday,8:05,14,Squidball,Beverage,2,25,50,E-Wallet,Employee,50,48
B30,05/18/2026,Monday,17:03,14,Cheese Stick,Beverage,1,45,45,Cash,Student,50,49
M39,05/18/2026,Monday,9:30,25,Hamburger,Meal,1,70,70,Cash,Employee,50,49
M37,05/18/2026,Monday,10:43,25,FEWA Burger,Meal,1,40,40,Cash,Employee,50,49
M38,05/18/2026,Monday,14:03,25,Hamburger w/ Cheese,Meal,3,75,225,Cash,Employee,50,47
S36,05/18/2026,Monday,7:55,27,FEWA Burger,Dessert,2,40,80,E-Wallet,Employee,50,48
S37,05/18/2026,Monday,7:24,122,Hamburger w/ Cheese,Snack,2,40,80,E-Wallet,Student,50,48
M42,05/20/2026,Tuesday,14:55,11,1pc Chicken w/ Rice & Drinks,Meal,1,99,99,Cash,Student,50,49
M43,05/20/2026,Tuesday,16:23,11,2pcs Chicken w/ Rice & Drinks,Meal,1,119,119,Cash,Student,50,49
B32,05/20/2026,Tuesday,9:57,12,1pc Chicken w/ Rice & Drinks,Beverage,1,35,35,Cash,Employee,50,49
S31,05/20/2026,Wednesday,17:37,13,2pcs Chicken w/ Rice & Drinks,Snack,1,35,35,E-Wallet,Student,50,49
SF23,05/20/2026,Wednesday,9:12,15,2pcs Chicken w/ Rice,Street Food,5,35,175,E-Wallet,Employee,50,45
S33,05/20/2026,Wednesday,16:10,16,Siomai Rice,Snack,1,60,60,Cash,Employee,50,49
